Francais,Lingala
Toute personne accusée d'un acte délictueux est présumée innocente jusqu'à ce que sa culpabilité ait été légalement établie au cours d'un procès public où toutes les garanties nécessaires à sa défense lui auront été assurées.,Moto nyonso oyo afundami kosala likambo ya mabe azali lokola azali na likambo te ti mokolo oyo mbano na ye ekokatama na bazuzi ntango esambeli na ye nyonso ekosila.
C'est ridicule et même absurde de réfléchir à la supériorité de l'homme sur la femme ou de la femme sur l'homme.,Ezali litiyo mpe ntina te ya kokanisa bokonzi ya mobali likolo ya mwasi to mpe ya mwasi likolo ya mobali.
Je n'ai aucun appétit sexuel.,Nazali na mposa ya kosangisa nzoto ata moke te.
"À vrai dire, il n'existe pas de radical, de préfixe, de suffixe ou de finale... en espéranto, seulement une unité lexicale employée comme radical, préfixe, suffixe ou finale.","Koloba bosolo, eloko moko te ezanga ndelo, to pe suka...Nazali na elikya ete liloba lyoko kaka ekoponama kati na ndelo, to pe suka."
"Il savait qu'ils n'allaient pas lui faire de fleur, que ça allait être sa fête.","Ayebaki ete akopesa ye fololo te, ete ekozala lipati naye."
Il y avait trois boutons au bas du dos du robot.,Ezalaki naba mbuma misato na nse ya mokongo ya robot.
"Continue de t'entraîner tous les jours, au bout d'un moment ça viendra tout seul.","Koba komilengele mikolo nyonso, na sima ya tango ekoya yongo moko."
Comment se fait-il que ce gosse ait toujours triste mine et les larmes aux yeux ?,Ndenge nini mwana oyo azalaka ntango nyonso na mawa mpe pizoli na miso ?
"S'il vous plaît, laissez un message après le signal ou quelques caramels dans notre boîte aux lettres.","Bolimbisi, tika sango sima ya elembo to pe babombo miike na sanduku ya mikanda na biso."
"Si F est un sous-espace vectoriel de dimension finie d'un espace préhilbertien réel E, alors F et F orthogonal sont supplémentaires.","Soki F ezali sous-espace vestoriel ya etando ya suka ya espace prehilbertien reel E, F and F orthogonal bazali supplementaire."
C'est la vie.,Ezali bomoyi.
C'est le vrai génie de l'Amérique: que l'Amérique puisse changer. Notre Union peut se perfectionner. Ce que nous avons réalisé jusque-là nous donne de l'espoir quant à ce que nous pouvons et devons réaliser demain.,Ezali mutu ya mayele makasi na Amerique : Amerique ebongolama. Lisanga na biso ekoki kobongama. Oyo tosali ti esiba oyo ezali kopesa biso elikya pona oyo tokoki kosala lobi.
"Si la réincarnation existe, j'aimerais revenir avec les jambes de Tina Turner et la voix de Nina Simone.","Soki kozonga na bomoi ezalaka ya solo, nakolinga nazonga na bomoi na makolo lokola ya Tina Turner mpe mongongo ya Nina Simone."
Vous devriez arriver tôt pour qu'il puisse lire votre manuscrit avant votre discours.,Esengeli boya na liboso ya ntangu po ete atanga makomi na bino liboso ba ntanga yango na misu ya bato.
Ce n'est pas étonnant qu'ils aient refusé son offre.,Azali yakokamwa te ete baboyi oyo apesi bango.
Rien d'étonnant à ce qu'elles aient refusé l'offre qu'elle leur faisait.,Yakokamwisa ezali te nalolenge baboyi oyo apesaki bango.
Je t'appellerai dès que j'en aurai fini avec mon travail.,Nakobenga yo tango nakosilisa mosala na ngai.
Tu pourras me poser au bureau mercredi ?,Okoki ko tika nga na mosala mokolo mwa misato.
Qui prendra en charge notre classe lorsque Mme Smith quittera l'école ?,Nani akokamata kelasi na biso ntango Mme Smith akolongwa na eteyelo?
"Du pinacle du bonheur, elle a sombré dans les abysses de la misère.","Kowuta na bozwi ya kafu kafu, asuki na bozang oyo ya nsuka."
"En musique comme en rhétorique, une pause est souvent utilisée pour créer un effet dramatique.","Na bolanga nzembo lokolo na boyebi ya liloba, ko kataka na ba ngonga esalemaka mpona ko tiya efet dramatike."
"Au nom de vos collègues, vous écrivez au directeur pour lui demander que chacun puisse travailler chez soi.","Na nkombo ya baninga ya mosala na yo, okomi na mokonzi pona kosenga ye ete moto na moto asala mosala uta ndako na ye."
Elle a admis avoir de l'héroïne.,Andimi ete azali na héroïne.
J'espère que mes souhaits pourront se réaliser.,Nalikei ete matombeli na ngai makokokisama.
En hiver l'île est couverte de glace et de neige.,"Na hiver, esanga etondaka na glace mpe ba neige."
Andy a suspendu sa chemise dans le placard.,Andy atiyaki simisi na ye na lomwale.
Madame Parker le salua avec un sourire.,Mama Parker apesaki ye mbote na bosepeli.
Normalement je paye en carte de crédit plutôt qu'en liquide.,"Na bizaleli na ngai, na futaka na kalata ya credit koleka na mbongo ya maboko."
Jessie parlait mal français et pire encore allemand.,Jessie azalaki koloba lopoto mabe mpe ki allemand mabe koleka.
Cette phrase prise hors contexte ne présente pas beaucoup d'intérêt.,Falaze oyo esali libanda ya likambo ezo lakisa mpeza ntina te.
"Une femme a apporté au photographe une photo de son mari décédé, prise alors qu'il portait un chapeau.","Mwasi moko amemeli mokangi foto, foto ya mobali naye moweyi, eye akangaki tango alataki ekoti."
"Cet homme a touché le fond : sa femme l'a quitté il s'est fait virer de son travail et il est alcoolique. Le pire c'est que je le connaissais, c'était mon patron il y a cinq ans.","Moto oyo akomi na suka : muasi naye akimi ye balongeli ye na musala mpe azali moto ya milangwa. Eleko ya mpasi ezali ete nayebaki ye, azalaki mukonzi na ngai eleki ba mbula mitano."
"Tu penses pouvoir me mettre une trempe à ce jeu ? Ramène tes fesses, je vais te mettre une de ces déculottées.","Okanisi ete okoki kosakana na ngai ? Yaka awa, natanda yo mbata."
Prière de frapper avant d'entrer dans les toilettes.,Tosengi na yo obeta yambo ya kokota na zongo.
Le personnage de gauche gâche l'unité du tableau.,Mutu oyo azali na logbook ya quasi azali kobebisa kitoko ya tableau.
La femme s'est levée de la chaise. Et elle a jeté un coup d’œil à la porte.,Mwasi atelemaki na kiti. Mpe atalaki na ngambo ya ekuke.
Nous nous battons tous contre notre propre remède; car la mort est le remède à tous les maux.,To bundisaka biso nyonso nkisi na biso; pamba te liwa ezali nkisi na mikakatano nyonso.
Un prisonnier est plus possédé de l'idée de s'enfuir que son gardien n'est possédé de l'idée de le garder. Donc un prisonnier doit toujours réussir à se sauver.,"Mokangaki azalaka mingi na likanisi ya kokima koleka mokengeli na ye na makanisi ya kokengela ye. Na boye, mokangami asengeli ntango nyonso akoka kokima."
Je n'avais jusqu'alors jamais compris pourquoi l'éternité avait été faite. C'est pour laisser à certains d'entre nous une chance d'apprendre l'allemand.,Natikalaka kososola te kino lelo mpo na nini bomoyi ya seko esalamaka. Ezali mpo na kotikela basusu kati na biso libaku malamu ya koyekola ki allemand.
Qu'as-tu donc à perdre à l'inviter à un rencard ? Un peu de fierté sans doute ?,Okobungisa nini na bobyangi ye na elaka. Mwa lolendo na tembe te?
Ils ont battu la campagne à la recherche de la victime.,Bakendaki koluka baye bzwamaki na likama.
Le dîner vient de me remonter faire coucou.,Bileyi ya nzanga epesi ngai makasi.
Le brouillard commença à se dissiper vers 10 heures.,Londende ebandaki kosila na nzinga-nzinga ya ngonga zomi.
Nous venons d'être informés que l'ennemi nous attend embusqué à deux milles plus loin sur le chemin.,Tozwi nsango ete monguna azali kozela biso na kobatama kilometri mibale musika na nzela.
Le monde est un grand bal où chacun est masqué.,Mokili ezali etando inene ya masano bisika batu nyonso balati ba masques.
"Le décret sert au gouvernement pour obtenir plus d’argent, car il lui permet de recevoir les biens des communautés religieuses, de s’emparer de leurs bénéfices et de réduire les revenus de leurs membres.","Mobeko esalisaka mbulamatari pona ko zua mbongo mingi na ebakisi, mpo ete esungi ye na ko zua biloko ya masangani ya bitonga, ko kamata ya bango matomba mpe ko kitisa bozui ya bayangani na yango."
"Dans la gravure, le clerc porte une balance où les poids disent que l’égalité et la liberté amènent au soulagement du peuple.","Na botubi, kalaka azalaki komema bomeki epai wapi kilo ekoloba ete bokokani pe bonsomi ekomema libondi na bato."
J'espère que vous pourrez résoudre rapidement la situation.,Na likyi ete boko kata likambo wana na lombango.
"Partout sur son chemin il enseignait l'amour, la patience, et par-dessus tout, la non-violence.","Bisika nyoso na nzela naye, ayekolisaki bolingo, koyika mpiko, mpe likolo na nyoso, botiki-mobulu."
Une relation basée sur l'honnêteté absolue est vouée à l'échec.,Bolingo oyo ezali na bosolo ya makasi esimbaka te.
Je n'ai pas du tout peur des chiens.,Ngayi na banga ba mbwa ata muke te.
"Un objet inanimé peut suivre le courant, mais seule une chose vivante peut s'y opposer.","Elokoyo ebujaka te elandaka mopepe, mpe oyo ibikaka elendaka te."
"Le soldat authentique ne lutte pas parce qu'il déteste ce qui est devant lui, mais parce qu'il aime ce qu'il a derrière-lui.","Soda ya solo solo abundaka te mpo ayini moto oyo atelemi liboso na ye, kasi mpo alingi oyo ezali nsima na ye."
Elvis a quitté le bâtiment.,Elvis alongwe na ndaku.
"Une seconde, je reviens tout de suite. Ne raccrochez pas !","Ngonga moko, nazo zonga sikoyo. Kokata telephone te!"
Il devrait pleuvoir demain.,Mbula esengelaki konoka lobi.
Il a perdu son temps à jouer aux courses hippiques.,Alekisi ntango na ye na kobetaka masano ya mpunda.
Ils sont nés à un mois d'intervalle en 1970.,Bakeseni na sanza moko ya mbotama na bango na mobu 1970.
Les élèves rirent dans leur barbe en voyant que le professeur avait mis son pull à l'envers.,Bana kelassi ba bukanaki na koseka ntangu bamonaki ete molakisi alataki elamba naye na sima ya mabe.
"Tu joues tellement aux jeux vidéos, tu ne penses pas que c'est du temps gaspillé pour rien ?","Osakanaka mingi na masano ya jeux vidéos, ozali koyeba ete ozali kolekisa tango."
"Qui ne parvient pas au fleuve Jaune n'a pas l'esprit en paix, et une fois parvenu n'a plus que ses yeux pour pleurer.","Moto oyo akoki te na ebaye ya manzani azangi molimo ya kimya, pe tango akolonga ezali kaka na miso naye po na kolela."
"C'est ainsi que Pandark se perdit dans sa chambre et on ne le revit plus jamais. Certains disent qu'il est mort de faim, d'autres qu'il erre encore à la recherche de ses CDs.","Boye nde Pandark amibungisaka na suku na ye kino bamonaka ye lisusu te. Baike balobaka ete akufa na nzala, misusu ete azali kotambolatambola koluka ba CD na ye."
Les violences post-électorales ont fait 5 victimes.,Mobulu sima mya maponami ebomaki bato mitano.
Ha ! Ha ! Ha ! Ha ! Pas de soucis ! J'ai eu l'audace de bluffer.,Ha ! Ha ! Ha ! Ha ! Likambo te ! Nazwaki mpiko ya kokosa.
"Je suis un peu pressé par le temps, j'ai juste le temps de sortir aller acheter des dapings et des youtiaos.","Naza na kati ya mwa mbangu, naza kaka na tango ya ko bima ko somba ba daping na ba yutiao."
Le roi était célèbre pour son splendide palais.,Mokonzi zalaki ya koyebana makasi pona ndaku na ye oyo ezalaki kitoko makasi.
Vous ne devez pas renoncer simplement parce que vous n'avez aucun talent.,Esengeli otika kaka boye te mpo ozali na likabo ata moko te.
"Si elle avait été en vie, ma mère m'aurait aidé à ce moment-là.","Soki azalaki na bomoyi, mama na ngai alingaki asunga ngai na ntango wana."
"Si tu veux être élu, tu vas devoir soigner ton image.","Soki olingi oponama lisusu, ekosenga obongisa elilingi na yo."
Je vais joindre Jim et lui demander de venir.,Nazo kende kokutana na Jim mpe na senga ye aya na biso.
"Le réparateur devait arriver à midi, mais il s'est retrouvé coincé dans des bouchons pendant plusieurs heures.","Moto abongisaka esengelaki akoma na nzanga, kasi akangamaki na ba embouteillages na ngonga ebele."
Ils ont ressenti une douleur à la fois physique et émotionnelle.,Bayokaki pasi ya nzoto mpe ya molimo.
"Si vous voulez que ça se passe bien entre nous, il va falloir jouer cartes sur table et ne pas nous mentir comme la dernière fois.","Soki olingi ete eleka malamu kati na biso, esengeli kozala na bosolo pe kokosa biso te lokola mbala eleki."
"Jean est brave en apparence, mais lâche en réalité.","Jean azali mobali ya bokasi na kotala ye, kasi na bosolo alemba."
"Il y a plus de fous que de sages, et dans le sage même, il y a plus de folie que de sagesse.","Bato ya liboma baleki bato ya mayele, mpe na moto ya mayele, liboma ezali mingi koleka mayele."
Le dernier numéro du magazine sortira lundi prochain.,Motango ya suka ya magazini eko bima mokolo ya yenga ezo ya.
"Elle refusa de jouer avec la chose, s'assit tout simplement et semblait fâchée.","Aboyaki kosakana na eloko, avandi naye kaka mpe asalaki yako silika."
Le journal d'aujourd'hui rapporte que le premier ministre a abandonné l'idée de visiter les États-Unis.,Zunale ya lelo elobi ete moyangeli ya yambo atikaki makanisi ya kokende kotala Etats-Unis.
I Love You est le titre de plus de chansons que quiconque pourrait chanter durant toute sa vie.,Na lingi yo ezali nkombo ya ba loyembo oyo moto nyonso akoki koyemba na bomoyi naye mobimba.
Tu n'arrives pas à fermer cette valise parce que tu as mis trop de choses dedans.,Ozo koka kokanga sanduku oyo te mpo otiaki biloko ebele nakati
"Une armée est composée d'une avant-garde, d'une arrière garde et du gros de l'armée.","Limpinga ezali na ebateli moko ya liboso, ebeteli moko ya nsima mpe monene ya limpinga."
Arthur a le rôle du méchant.,Arthur azwi mosala ya moto mabe.
Nul n'est censé ignorer la loi.,Moko te asengeli kobunga mobeko.
Nous avons utilisé des mesures d'urgence pour réanimer le patient victime d'un arrêt cardiaque.,Tosalelaki ba lolenge ya mbalakata pona kozongisa na bomoi mobeli oyo motema ezalaki kokata.
J'aime Kevin Nash.,Nalingaka Kevin Nash.
Elle parle souvent de son fiancé.,Abetaka mingi lisolo ya likangu na ye.
Carlos est intelligent et créatif.,Carlos azali mayele mpe akelaka.
Il a donné à la police un faux nom et une fausse adresse.,Apesaki na pulusi kombo ya lokuta mpe bisika ya kofanda ya lokuta.
Il a mangé un poulet avec de la salade et de petits pains.,Aliaki sosso na ndunda mpe mapa ya mikie.
Félicitations pour ton anniversaire.,mokangya pona mokolo ya mbotama nayo.
Je ne pense pas qu'il existe une culture où le viol n'est pas considéré comme un crime très grave.,Nabanzi ete ezali na ebikeli moko te oyo bokamati basi na makasi emonanaka te lokola ekela ya bobuki mobeko.
"Je n'ai pas écouté ce que tu me disais, à vrai dire je m'en cogne comme de mes premiers dragibus.","Nazalaki koyoka te nini ozalaki koloba, ya bosolo namituti lokola babambo na ngai ya yambo ya dragibus."
"Je veux un inventaire très précis cette année, il ne s'agit pas de noter des chiffres au petit bonheur, compris ?","Nalingi osala inventaire ya malamu penza mbula oyo, esengeli te kaka ba chiffres, oyoki?"
Les voleurs respectent la propriété. Ils veulent seulement que la propriété devienne leur propriété afin qu'ils puissent plus parfaitement la respecter.,Miyibi batosaka mosolo. Balingi kaka ete mosolo wana ezala mosolo nabango mpo ete ba tosa yango mpeza te.
"Le nombre de clients qui se rendent tous les ans pendant la période du nouvel an chinois, au grand Tang Frères, à Paris dans le treizième arrondissement, fait peur.","Motango ya bakiliya bakendeke mbula nyonso na ntango ya mbula ya sika ya ba chinois, na Tang Frères ya monene, na Paris na alondisema ya zomi ya misato, ebangisaka."
Ça m'a coûté 50 dollars pour réparer ma montre.,Nafuti 50 dollar mpo na kobongisa montele na ngai.
"Un jour, tu le regretteras.","Mokolo moko, okolela na ntina na yango."
On a gagné le match.,Tolongaki lisano ya motopi.
Ce bureau est différent de celui que j'ai commandé.,Bilo oyo ekesini na oyo ngai nasengaki.
Dieu lui a donné un visage magnifique et une voix merveilleuse.,Nzambe apesa ye elongi ezenga pe mongongo ya kokamwa.
Joseph ! Ramène ta fraise !,Yozefu! Zongisa mbuma na yo!
"Kevin me pompe l'air, il me colle tout le temps !","Kevin azali kotika ngai nazwa mopepe te, azali kokangama na ngai ntango inso."
Puis-je récupérer ma caution s'il vous plaît ?,"Nakoki kozwa mosolo ya caution, soki olingi?"
Le conflit a atteint son paroxysme lorsque certains hommes politiques ont accusé leurs adversaires de collusion avec les grandes entreprises.,Bobendani ekomaki makasi tango bato mosusu ya politiki bafundaki bato ya bombanda na bango koyokana na ba compagnie ya minene.
Ce procès a mis un terme à sa carrière politique.,Lisambisi eye esukisaki mosala naye ya politiki.
Il a filé sans demander son reste.,Akeyi na lombango kozanga kosenge mbongo ya sanze.
Vous auriez un bon livre à me conseiller ?,Ozali na buku ya malamu mpo oteya ngai ?
Le chargement était trop lourd pour qu'un conducteur puisse le transporter seul.,Mokumba ezalaki mingi koleka mpo mokumbi akoka kotambwisa ye motuka moko.
J'ai entendu un bruit bizarre venant du garage.,Nayoki makelele ya mabe koyaka na garage.
Plus de 90 pour cent des visites d'une page web trouvent leur origine dans les moteurs de recherche.,koleka 90 pour cent ya bapaya bayebaka bisika bawuta o nzela etando ya boluki.
Le véhicule roulant à vive allure glissa et s'enfonça tête la première dans l'arrière d'un camion avant que son conducteur n'ait pu dire Jack Robinson.,Motuka oyo ezalaki kokumbama na mbangu makasi esietaki mpe ekotisaki liboso nango na sima ya motuka ya monene yambo mokumbi nango akoka koloba Jack Robinson.
